Uid,Sid,Key,Time,Category,Value,UpdateTime
6503113837,xiaomisports_app,indoor_running,1677770212,running,"{""time"":1677770212,""timezone"":-12,""version"":1,""start_time"":1677770212,""end_time"":1677772177,""proto_type"":3,""sport_type"":3,""duration"":1965,""distance"":770,""calories"":379,""max_pace"":0,""min_pace"":429,""avg_pace"":2549,""steps"":1064,""max_cadence"":0,""avg_cadence"":32,""avg_hrm"":145,""max_hrm"":169,""min_hrm"":119,""train_effect"":31}",1700589450
6503113837,xiaomisports_app,indoor_fitness,1677856636,indoor_fitness,"{""time"":1677856636,""timezone"":-12,""version"":1,""start_time"":1677856636,""end_time"":1677858751,""proto_type"":8,""sport_type"":399,""duration"":2115,""calories"":260,""avg_hrm"":110,""max_hrm"":146,""min_hrm"":86,""train_effect"":10}",1700589450
6503113837,xiaomisports_app,indoor_running,1677858826,running,"{""time"":1677858826,""timezone"":-12,""version"":1,""start_time"":1677858826,""end_time"":1677860661,""proto_type"":3,""sport_type"":3,""duration"":1835,""distance"":1990,""calories"":326,""max_pace"":0,""min_pace"":418,""avg_pace"":1941,""steps"":1305,""max_cadence"":0,""avg_cadence"":43,""avg_hrm"":138,""max_hrm"":181,""min_hrm"":83,""train_effect"":27}",1700589449
6503113837,xiaomisports_app,indoor_fitness,1678216668,indoor_fitness,"{""time"":1678216668,""timezone"":-12,""version"":1,""start_time"":1678216668,""end_time"":1678218284,""proto_type"":8,""sport_type"":399,""duration"":1615,""calories"":208,""avg_hrm"":113,""max_hrm"":148,""min_hrm"":82,""train_effect"":13}",1700589449
6503113837,xiaomisports_app,indoor_running,1678218308,running,"{""time"":1678218308,""timezone"":-12,""version"":1,""start_time"":1678218308,""end_time"":1678220183,""proto_type"":3,""sport_type"":3,""duration"":1875,""distance"":1990,""calories"":206,""max_pace"":0,""min_pace"":234,""avg_pace"":1852,""steps"":1110,""max_cadence"":0,""avg_cadence"":36,""avg_hrm"":104,""max_hrm"":144,""min_hrm"":80,""train_effect"":6}",1700589448
6503113837,xiaomisports_app,indoor_fitness,1678286826,indoor_fitness,"{""time"":1678286826,""timezone"":-12,""version"":1,""start_time"":1678286826,""end_time"":1678288948,""proto_type"":8,""sport_type"":399,""duration"":2122,""calories"":264,""avg_hrm"":113,""max_hrm"":148,""min_hrm"":80,""train_effect"":13}",1700589448
6503113837,xiaomisports_app,elliptical_trainer,1678289063,elliptical_trainer,"{""time"":1678289063,""timezone"":-12,""version"":1,""start_time"":1678289063,""end_time"":1678289243,""proto_type"":11,""sport_type"":11,""duration"":179,""calories"":26,""avg_hrm"":129,""max_hrm"":168,""min_hrm"":113,""train_effect"":4}",1700589446
6503113837,xiaomisports_app,indoor_fitness,1678473820,indoor_fitness,"{""time"":1678473820,""timezone"":-12,""version"":1,""start_time"":1678473820,""end_time"":1678475943,""proto_type"":8,""sport_type"":399,""duration"":2123,""calories"":310,""avg_hrm"":123,""max_hrm"":150,""min_hrm"":96,""train_effect"":20}",1700589446
6503113837,xiaomisports_app,indoor_running,1678475968,running,"{""time"":1678475968,""timezone"":-12,""version"":1,""start_time"":1678475968,""end_time"":1678477777,""proto_type"":3,""sport_type"":3,""duration"":1809,""distance"":1990,""calories"":373,""max_pace"":0,""min_pace"":294,""avg_pace"":1498,""steps"":1353,""max_cadence"":0,""avg_cadence"":45,""avg_hrm"":153,""max_hrm"":181,""min_hrm"":117,""train_effect"":32}",1700589445
6503113837,xiaomisports_app,indoor_fitness,1678719114,indoor_fitness,"{""time"":1678719114,""timezone"":-12,""version"":1,""start_time"":1678719114,""end_time"":1678721542,""proto_type"":8,""sport_type"":399,""duration"":2428,""calories"":257,""avg_hrm"":103,""max_hrm"":145,""min_hrm"":80,""train_effect"":6}",1700589445
6503113837,xiaomisports_app,indoor_running,1678721572,running,"{""time"":1678721572,""timezone"":-12,""version"":1,""start_time"":1678721572,""end_time"":1678723378,""proto_type"":3,""sport_type"":3,""duration"":1806,""distance"":1990,""calories"":289,""max_pace"":0,""min_pace"":240,""avg_pace"":1706,""steps"":900,""max_cadence"":0,""avg_cadence"":30,""avg_hrm"":131,""max_hrm"":182,""min_hrm"":90,""train_effect"":28}",1700589444
6503113837,xiaomisports_app,indoor_fitness,1678799151,indoor_fitness,"{""time"":1678799151,""timezone"":-12,""version"":1,""start_time"":1678799151,""end_time"":1678802032,""proto_type"":8,""sport_type"":399,""duration"":2880,""calories"":368,""avg_hrm"":114,""max_hrm"":152,""min_hrm"":67,""train_effect"":13}",1700589444
6503113837,xiaomisports_app,indoor_running,1678802074,running,"{""time"":1678802074,""timezone"":-12,""version"":1,""start_time"":1678802074,""end_time"":1678802636,""proto_type"":3,""sport_type"":3,""duration"":562,""distance"":480,""calories"":44,""max_pace"":0,""min_pace"":306,""avg_pace"":1166,""steps"":389,""max_cadence"":0,""avg_cadence"":41,""avg_hrm"":92,""max_hrm"":128,""min_hrm"":75,""train_effect"":1}",1700589443
6503113837,xiaomisports_app,indoor_running,1678802649,running,"{""time"":1678802649,""timezone"":-12,""version"":1,""start_time"":1678802649,""end_time"":1678802668,""proto_type"":3,""sport_type"":3,""duration"":19,""distance"":10,""calories"":1,""max_pace"":0,""min_pace"":405,""avg_pace"":1021,""steps"":12,""max_cadence"":0,""avg_cadence"":37,""avg_hrm"":113,""max_hrm"":113,""min_hrm"":113}",1700589443
6503113837,xiaomisports_app,indoor_running,1678802748,running,"{""time"":1678802748,""timezone"":-12,""version"":1,""start_time"":1678802748,""end_time"":1678804777,""proto_type"":3,""sport_type"":3,""duration"":2029,""distance"":3990,""calories"":385,""max_pace"":0,""min_pace"":318,""avg_pace"":765,""steps"":2394,""max_cadence"":0,""avg_cadence"":71,""avg_hrm"":145,""max_hrm"":179,""min_hrm"":117,""train_effect"":29}",1700589443
