Data,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Frequência cardíaca média (bpm),Frequência cardíaca máxima (bpm),Frequência cardíaca mínima (bpm),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg),Duração de Bicicleta (ms),Duração de Caminhada (ms),Duração de Corrida (ms),Duração de Outra (ms)
2023-12-02,19,1891.0287681388193,1228.194120118995,9.0,9,,,,0.7895432715004109,1.7379960052233598,0.25011158278657,1875,,,,,1377224,,
2023-12-03,,1785.75,20.878879954357146,,,,,,0.282734832715253,0.282734832715253,0.282734832715253,100,,,,,,,
2023-12-04,8,1826.8529385,342.0191914418175,1.0,1,,,,0.28522338543223547,1.2828939999908309,0.2609859994294643,628,,,,,537696,,
2023-12-05,16,1864.2503447323934,972.027868248461,6.0,6,,,,0.34034110657115074,1.3069819308702324,0.2609859994294643,1522,,,,,1026918,,
2023-12-06,17,1855.8623520821254,1110.8676729637398,8.0,8,,,,0.43503711850149457,1.4498628626049874,0.2609859994294643,1765,,,,,917188,,
2023-12-07,,1785.7499999999998,47.629944895877244,,,,,,0.3044836724253127,0.3262325121353724,0.282734832715253,233,,,,,,,
2023-12-08,29,1906.8667688756168,1731.2148096970066,12.0,10,,,,0.6639908667354261,1.9624071277240498,0.24315224143374753,2556,,,,,1584413,,
2023-12-09,7,1835.6632664062497,476.8238052965266,2.0,2,,,,0.37601759794276574,1.6199045390181073,0.2609859994294643,796,,,,,652950,,
2023-12-10,19,1856.649468423158,1023.7403669813316,7.0,7,,,,0.3977427577910431,1.3191870655153823,0.25011158278657,1565,,,,,927486,,
2023-12-11,,1785.75,75.43506773794162,,,,,,0.49800523186870443,0.7562657864230383,0.282734832715253,343,,,,,,,
2023-12-12,7,1822.2272373333333,403.4965061959657,2.0,2,,,,0.3750528552140342,1.323401747176258,0.31535808264393606,716,,,,,477184,,
2023-12-13,7,1832.1856332808813,448.51178952084217,2.0,2,,,,0.3296606944923531,1.3226758095607776,0.25011158278657,819,,,,,607457,,
2023-12-14,188,2692.0616231092395,4901.316106295641,90.0,90,,,,0.5388771494000284,2.0571145625790668,0.25011158278657,7586,,,,5453061,6038436,,
2023-12-15,37,1913.5142578342914,1483.3820551207211,4.0,4,,,,0.5997134668482597,1.6546185277872012,0.2718603942632498,2489,,,,,1671373,,
2023-12-16,62,2023.006733413806,3428.874140831339,18.0,18,,,,0.5745592197806089,1.7308194922910385,0.25011158278657,5063,,,,,3103721,,
2023-12-17,107,2341.48465415797,5713.070139669833,16.0,16,,,,0.5786051581882474,1.6738773038364396,0.2602051521648731,8837,,,,,7269950,,
